iter	Passed	Remaining
0	2	242
1	5	257
2	7	234
3	9	219
4	12	236
5	15	247
6	18	249
7	22	257
8	25	257
9	28	254
10	30	245
11	32	236
12	34	229
13	36	225
14	38	219
15	41	216
16	43	210
17	44	204
18	46	199
19	48	195
20	51	192
21	52	187
22	54	184
23	57	181
24	59	178
25	61	175
26	63	172
27	66	169
28	68	167
29	71	166
30	73	163
31	76	162
32	78	159
33	80	156
34	83	154
35	85	152
36	88	149
37	90	148
38	93	145
39	94	141
40	96	138
41	96	133
42	98	130
43	101	128
44	103	126
45	104	123
46	107	120
47	108	117
48	110	114
49	111	111
50	113	108
51	115	106
52	117	104
53	119	101
54	120	98
55	122	96
56	123	93
57	125	90
58	126	88
59	128	85
60	130	83
61	131	80
62	133	78
63	135	76
64	137	73
65	139	71
66	140	69
67	142	67
68	144	64
69	146	62
70	148	60
71	149	58
72	151	56
73	153	53
74	154	51
75	156	49
76	157	47
77	159	44
78	160	42
79	162	40
80	163	38
81	165	36
82	166	34
83	168	32
84	169	29
85	171	27
86	172	25
87	174	23
88	176	21
89	178	19
90	179	17
91	181	15
92	182	13
93	184	11
94	185	9
95	187	7
96	188	5
97	190	3
98	192	1
99	193	0
