iter	Passed	Remaining
0	135	135082
1	137	68628
2	139	46342
3	141	35207
4	143	28589
5	145	24177
6	148	21049
7	150	18610
8	152	16764
9	154	15278
10	155	14018
11	158	13009
12	160	12198
13	162	11440
14	164	10782
15	166	10220
16	168	9752
17	171	9333
18	173	8967
19	176	8661
20	179	8361
21	181	8072
22	183	7804
23	185	7531
24	186	7262
25	188	7056
26	189	6841
27	191	6657
28	193	6465
29	194	6280
30	195	6107
31	196	5951
32	197	5792
33	199	5659
34	200	5525
35	202	5434
36	203	5304
37	204	5188
38	206	5091
39	208	5002
40	210	4917
41	211	4831
42	212	4735
43	213	4641
44	214	4558
45	215	4476
46	218	4424
47	220	4376
48	221	4302
49	222	4225
50	223	4158
51	224	4092
52	225	4024
53	226	3960
54	227	3901
55	228	3846
56	229	3789
57	229	3732
58	231	3686
59	231	3634
60	232	3583
61	233	3533
62	234	3485
63	235	3438
64	235	3392
65	236	3347
66	237	3302
67	237	3259
68	238	3218
69	239	3177
70	239	3138
71	240	3100
72	241	3064
73	242	3029
74	242	2994
75	243	2959
76	244	2926
77	244	2894
78	245	2865
79	247	2841
80	247	2812
81	248	2783
82	249	2752
83	249	2724
84	250	2696
85	251	2669
86	251	2642
87	252	2615
88	253	2590
89	253	2566
90	254	2541
91	255	2518
92	255	2495
93	256	2472
94	257	2449
95	257	2427
96	258	2405
97	259	2384
98	260	2368
99	261	2349
100	261	2331
101	262	2313
102	263	2295
103	264	2279
104	265	2261
105	265	2243
106	266	2225
107	267	2207
108	267	2190
109	268	2173
110	269	2156
111	270	2143
112	271	2128
113	271	2113
114	272	2099
115	273	2085
116	274	2071
117	275	2060
118	276	2049
119	277	2036
120	278	2022
121	279	2008
122	279	1994
123	280	1981
124	281	1969
125	282	1956
126	282	1942
127	283	1929
128	283	1917
129	284	1904
130	285	1891
131	285	1880
132	286	1867
133	287	1855
134	287	1844
135	288	1832
136	289	1823
137	290	1812
138	290	1801
139	291	1790
140	292	1780
141	292	1769
142	293	1758
143	294	1748
144	294	1738
145	295	1728
146	296	1718
147	296	1708
148	297	1698
149	298	1689
150	298	1679
151	299	1670
152	300	1661
153	300	1651
154	301	1642
155	301	1633
156	302	1624
157	303	1615
158	304	1608
159	304	1601
160	305	1592
161	306	1586
162	307	1580
163	309	1575
164	310	1569
165	311	1563
166	312	1557
167	313	1551
168	314	1545
169	315	1539
170	316	1533
171	317	1527
172	318	1522
173	319	1517
174	320	1511
175	322	1507
176	323	1502
177	324	1497
178	325	1490
179	326	1486
180	327	1480
181	328	1475
182	329	1470
183	330	1464
184	331	1459
185	332	1454
186	333	1450
187	334	1444
188	335	1438
189	336	1435
190	337	1431
191	338	1426
192	339	1421
193	340	1416
194	341	1411
195	342	1406
196	343	1401
197	344	1395
198	345	1391
199	347	1390
200	348	1385
201	349	1380
202	350	1376
203	351	1371
204	352	1368
205	353	1364
206	354	1359
207	355	1355
208	356	1350
209	357	1346
210	358	1341
211	359	1337
212	360	1333
213	362	1329
214	362	1325
215	364	1321
216	365	1317
217	366	1313
218	367	1310
219	368	1306
220	369	1302
221	370	1297
222	371	1293
223	372	1288
224	372	1284
225	373	1280
226	374	1276
227	376	1273
228	376	1269
229	377	1265
230	378	1261
231	379	1257
232	381	1254
233	382	1251
234	383	1247
235	384	1243
236	385	1239
237	386	1236
238	387	1232
239	387	1228
240	388	1224
241	390	1222
242	391	1219
243	392	1216
244	393	1213
245	394	1210
246	396	1207
247	397	1205
248	398	1202
249	399	1198
250	400	1195
251	401	1192
252	402	1189
253	404	1186
254	405	1183
255	406	1180
256	406	1176
257	407	1172
258	408	1169
259	409	1165
260	411	1165
261	412	1162
262	413	1159
263	414	1156
264	415	1153
265	416	1150
266	417	1147
267	419	1144
268	420	1141
269	421	1138
270	422	1135
271	423	1132
272	424	1129
273	424	1126
274	426	1123
275	427	1120
276	428	1117
277	429	1114
278	430	1111
279	431	1108
280	432	1105
281	432	1102
282	433	1098
283	434	1095
284	435	1091
285	435	1088
286	436	1085
287	437	1081
288	438	1078
289	438	1074
290	439	1071
291	440	1068
292	441	1066
293	442	1063
294	443	1060
295	444	1057
296	445	1054
297	446	1051
298	447	1048
299	448	1045
300	448	1042
301	449	1039
302	450	1036
303	451	1032
304	451	1029
305	452	1026
306	453	1023
307	453	1019
308	454	1017
309	455	1014
310	456	1011
311	457	1008
312	458	1005
313	458	1002
314	459	999
315	460	997
316	461	994
317	462	991
318	462	988
319	463	985
320	464	982
321	465	979
322	465	976
323	466	973
324	467	970
325	468	968
326	469	965
327	469	962
328	470	960
329	471	957
330	472	954
331	473	952
332	474	949
333	474	947
334	475	944
335	476	941
336	477	938
337	477	935
338	478	932
339	479	930
340	479	927
341	480	924
342	481	921
343	482	919
344	482	916
345	483	913
346	484	911
347	484	908
348	485	906
349	487	904
350	487	902
351	488	899
352	489	896
353	490	894
354	490	891
355	491	889
356	492	886
357	493	884
358	493	881
359	494	879
360	495	876
361	496	874
362	496	871
363	497	869
364	498	866
365	499	864
366	499	861
367	501	861
368	502	858
369	503	856
370	504	854
371	505	852
372	505	850
373	506	848
374	507	846
375	508	843
376	509	841
377	509	838
378	510	836
379	511	834
380	512	832
381	513	830
382	513	827
383	514	825
384	515	823
385	516	822
386	517	819
387	518	817
388	518	815
389	519	813
390	520	811
391	521	809
392	522	806
393	523	804
394	524	803
395	525	801
396	525	798
397	526	796
398	527	794
399	528	792
400	529	790
401	529	788
402	531	787
403	532	785
404	533	784
405	534	782
406	535	780
407	536	778
408	536	775
409	537	773
410	538	771
411	539	769
412	540	767
413	540	765
414	541	763
415	542	761
416	542	759
417	543	757
418	544	755
419	545	753
420	546	751
421	547	749
422	548	747
423	548	745
424	549	743
425	550	741
426	551	739
427	551	737
428	552	735
429	553	733
430	553	731
431	554	729
432	555	727
433	555	725
434	556	723
435	557	721
436	558	719
437	559	717
438	560	715
439	560	713
440	561	712
441	562	710
442	563	708
443	564	706
444	565	704
445	565	702
446	566	700
447	567	698
448	567	697
449	568	695
450	569	693
451	570	691
452	571	689
453	571	687
454	572	685
455	573	683
456	573	681
457	574	680
458	575	678
459	576	676
460	577	674
461	577	673
462	578	671
463	579	669
464	580	667
465	580	665
466	581	663
467	582	661
468	582	659
469	583	658
470	584	656
471	584	654
472	585	652
473	586	650
474	587	649
475	587	647
476	588	645
477	589	643
478	589	641
479	590	639
480	591	638
481	592	636
482	593	635
483	594	633
484	594	631
485	595	629
486	596	627
487	596	626
488	597	624
489	598	622
490	599	620
491	599	619
492	600	617
493	601	615
494	601	614
495	602	612
496	603	610
497	604	608
498	604	607
499	605	605
500	606	603
501	607	602
502	608	600
503	608	599
504	609	597
505	610	595
506	610	594
507	611	592
508	612	590
509	613	589
510	613	587
511	614	585
512	615	584
513	616	582
514	616	581
515	617	579
516	618	577
517	619	576
518	619	574
519	620	572
520	621	571
521	622	569
522	623	568
523	623	566
524	624	565
525	625	563
526	626	562
527	627	560
528	627	559
529	628	557
530	629	556
531	630	554
532	631	553
533	632	551
534	633	550
535	634	549
536	635	547
537	636	546
538	637	545
539	638	543
540	639	542
541	639	540
542	640	539
543	641	537
544	641	535
545	642	534
546	643	532
547	644	531
548	645	530
549	646	528
550	646	527
551	647	525
552	648	524
553	649	522
554	649	520
555	650	519
556	651	517
557	651	516
558	652	515
559	653	513
560	654	512
561	655	510
562	655	509
563	656	507
564	657	506
565	658	504
566	658	503
567	659	501
568	660	500
569	661	498
570	661	497
571	662	495
572	663	494
573	663	492
574	664	491
575	665	489
576	665	488
577	666	486
578	667	485
579	668	484
580	669	482
581	670	481
582	670	479
583	671	478
584	672	477
585	673	475
586	674	474
587	675	472
588	675	471
589	676	470
590	677	468
591	677	467
592	678	465
593	679	464
594	679	462
595	680	461
596	681	459
597	682	458
598	683	457
599	683	455
600	684	454
601	685	453
602	686	451
603	687	450
604	688	449
605	688	447
606	689	446
607	690	445
608	691	443
609	691	442
610	692	440
611	693	439
612	693	438
613	694	436
614	695	435
615	695	433
616	696	432
617	697	431
618	698	429
619	699	428
620	700	427
621	701	426
622	701	424
623	702	423
624	703	421
625	703	420
626	704	419
627	705	417
628	706	416
629	706	415
630	707	413
631	708	412
632	708	411
633	709	409
634	710	408
635	711	406
636	711	405
637	712	404
638	713	403
639	714	401
640	715	400
641	715	399
642	716	397
643	717	396
644	717	395
645	718	393
646	719	392
647	720	391
648	720	389
649	721	388
650	722	387
651	722	385
652	723	384
653	724	383
654	725	381
655	725	380
656	726	379
657	727	377
658	728	376
659	729	375
660	730	374
661	730	373
662	731	371
663	732	370
664	733	369
665	733	368
666	734	366
667	735	365
668	736	364
669	736	362
670	737	361
671	738	360
672	738	358
673	739	357
674	740	356
675	740	355
676	741	353
677	742	352
678	743	351
679	744	350
680	745	349
681	745	347
682	746	346
683	747	345
684	747	343
685	748	342
686	749	341
687	749	340
688	750	338
689	751	337
690	752	336
691	752	335
692	753	333
693	754	332
694	754	331
695	755	330
696	756	328
697	757	327
698	758	326
699	759	325
700	759	324
701	760	322
702	761	321
703	761	320
